protein,_pdbx_database_status.recvd_initial_deposition_date ,_entity_src_gen.pdbx_gene_src_scientific_name ,_entity_src_gen.pdbx_gene_src_ncbi_taxonomy_id ,_entity_src_gen.pdbx_host_org_scientific_name ,_entity_src_gen.pdbx_host_org_ncbi_taxonomy_id ,_exptl_crystal.density_Matthews ,_exptl_crystal.density_percent_sol ,_exptl_crystal_grow.pH ,_exptl_crystal_grow.temp ,_diffrn.ambient_temp ,_diffrn_detector.pdbx_collection_date ,_diffrn_radiation_wavelength.wavelength ,_reflns.d_resolution_high ,_reflns.d_resolution_low ,_reflns.pdbx_redundancy ,_refine.ls_d_res_high ,_refine.ls_d_res_low ,_refine.ls_R_factor_obs ,_refine.ls_R_factor_R_free ,_refine.ls_R_factor_R_work ,_refine.pdbx_ls_cross_valid_method ,_refine.pdbx_method_to_determine_struct ,_refine.pdbx_solvent_vdw_probe_radii ,_refine.pdbx_solvent_shrinkage_radii ,_refine_hist.d_res_high ,_refine_hist.d_res_low ,_refine_hist.pdbx_number_atoms_protein ,_refine_hist.pdbx_number_atoms_ligand ,_refine_hist.number_atoms_solvent 
3bqp,2007-12-20,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.25,45.27,8.5,298.0,100.0,2007-03-24,1.033,1.30,45.0,7.5,1.30,34.28,0.1760,0.2337,,'FREE R',SAD,,,1.30,34.28,1271,3,198
4ia6,2012-12-06,'LACTOBACILLUS ACIDOPHILUS',272621,'ESCHERICHIA COLI',562,2.48,50.48,7.9,298,100,2008-12-19,0.97977,1.800,50.00,4.3,1.8000,48.7250,0.1556,0.1915,0.1537,THROUGHOUT,'FOURIER SYNTHESIS',1.1100,0.9000,1.8000,48.7250,9213,200,1389
3ka2,2009-10-18,,,,,2.11,41.71,6.0,293,110,2007-02-26,0.90020,1.40,50,6.4,1.40,20.00,0.19751,0.21728,0.19649,THROUGHOUT,'MOLREP V.5',1.20,0.80,1.40,20.00,1544,54,137
5gxy,2016-09-21,'CLOSTRIDIUM THERMOCELLUM',1515,'ESCHERICHIA COLI BL21(DE3)',469008,2.97,58.64,8.5,295,100,2010-10-05,0.97622,1.70,30,6.1,1.70,27.74,0.16104,0.18664,0.15969,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.70,27.74,9598,102,1402
5fyt,2016-03-09,'HOMO SAPIENS',9606,'SPODOPTERA FRUGIPERDA',7108,2.1,41.34,7.5,,100,2015-05-15,0.91732,1.87,95.48,19.8,1.870,70.905,0.1897,0.2216,0.1880,,'MOLECULAR REPLACEMENT',1.11,0.90,1.870,70.905,3664,108,360
5anz,2015-09-09,'PSEUDOMONAS AERUGINOSA',287,'ESCHERICHIA COLI',562,2.32,47,,,100,,1.00001,1.61,56.14,6.8,1.614,54.168,0.1801,0.2036,0.1789,,'MOLECULAR REPLACEMENT',1.11,0.90,1.614,54.168,2864,22,233
4ycs,2015-02-20,'PEPTOCLOSTRIDIUM DIFFICILE 630',272563,'ESCHERICHIA COLI',469008,2.49,50.55,7.0,289,100,2013-08-20,0.97915,1.98,30.0,4.8,1.98,30.00,0.18067,0.22628,0.17981,THROUGHOUT,SAD,1.20,0.80,1.98,30.00,5676,23,353
5i0a,2016-02-03,'MYCOBACTERIUM TUBERCULOSIS',1773,'ESCHERICHIA COLI',562,2.14,42.58,8.5,298,100,2015-08-07,1.0711,1.500,100.000,7.000,1.5000,37.1670,0.1724,0.1928,0.1703,'FREE R-VALUE',SAD,1.1100,0.9000,1.5000,37.1670,1103,18,192
1p6o,2003-04-29,'SACCHAROMYCES CEREVISIAE',4932,'ESCHERICHIA COLI',562,1.66,35.58,6.5,277,100,2002-09-16,1.0,1.14,20.0,,1.14,10.00,0.1097,0.1521,0.1097,'FREE R',SAD,,,1.14,10.00,2507,20,450
3o70,2010-07-29,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',469008,3.89,68.39,9.5,291,100,2010-01-24,0.97949,1.850,50.000,15.500,1.85,27.38,0.18422,0.18763,0.18405,THROUGHOUT,SAD,1.20,0.80,1.85,27.38,443,14,41
5vgl,2017-04-11,'ALLIUM CEPA',4679,'ESCHERICHIA COLI',562,2.20,44.01,4.5,298,80,2016-08-18,0.9791,1.40,40.13,4.1,1.400,37.162,0.1537,0.1887,0.1519,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.400,37.162,1217,0,275
1s68,2004-01-22,'ENTEROBACTERIA PHAGE T4',10665,'ESCHERICHIA COLI BL21(DE3)',469008,2.34,47.08,8.5,296,,,,1.9,50,,1.90,34.05,0.19,0.227,0.19,THROUGHOUT,SIRAS,,,1.90,34.05,1865,23,242
5gji,2016-06-30,'HOMO SAPIENS',9606,'ESCHERICHIA COLI BL21(DE3)',469008,1.88,34.45,4.6,293,95,2014-05-13,0.9800,0.90,30.9,5.5,0.900,30.884,0.1268,0.1446,0.1259,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,0.900,30.884,942,21,190
4v3l,2014-10-20,,,,,2.50,50.72,,,100,2013-12-07,0.97949,1.53,63.70,9.5,1.530,63.687,0.1833,0.1926,0.1828,,'MOLECULAR REPLACEMENT',1.30,1.06,1.530,63.687,2856,10,387
2icu,2006-09-13,'ESCHERICHIA COLI',83333,'ESCHERICHIA COLI',562,2.27,45.82,6.4,291,100,2006-08-24,0.97240,1.60,50.0,6.8,1.60,18.59,0.17417,0.20319,0.1726,THROUGHOUT,SAD,1.40,0.80,1.60,18.59,3317,0,749
1iom,2001-03-19,'THERMUS THERMOPHILUS',300852,'ESCHERICHIA COLI',562,3.24,62.00,7.5,293,,,0.7,1.5,20,8.3,1.5,20.0,0.172,0.185,0.172,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.5,20.0,2929,27,469
1w0h,2004-06-04,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',469008,3.10,60.28,5.60,,100.0,2004-04-20,0.964,1.590,20.000,18.100,1.59,20,0.170,0.202,0.168,THROUGHOUT,OTHER,,,1.59,20,1642,25,371
2c3w,2005-10-12,'BACILLUS HALODURANS',272558,'ESCHERICHIA COLI',469008,2.42,48.78,,,113.0,,1.5418,1.810,20.000,4.200,1.81,63.25,0.161,0.201,0.158,THROUGHOUT,OTHER,1.40,0.80,1.81,63.25,2959,414,783
3sbt,2011-06-06,,,,,2.25,45.40,8.5,277,100,2010-06-19,0.9814,1.799,89.1,,1.799,26.735,0.1637,0.1967,0.1619,,'MOLECULAR REPLACEMENT',1.11,0.90,1.799,26.735,4539,15,585
4uyp,2014-09-02,,,,,3.05,60,7.5,,100,2012-05-05,0.9795,1.49,76.19,6.6,1.49,76.19,0.15696,0.18536,0.15548,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.49,76.19,3345,162,640
2gu3,2006-04-28,'BACILLUS SUBTILIS SUBSP. SUBTILIS STR. 168',224308,'ESCHERICHIA COLI BL21(DE3)',469008,2.02,39.19,8.5,295,100,2006-04-19,,1.74,28.3,4.7,1.74,28.30,0.188,0.2144,0.188,,MAD,1.20,0.80,1.74,28.30,1008,1,145
3b8b,2007-10-31,'BACTEROIDES THETAIOTAOMICRON VPI-5482',226186,'ESCHERICHIA COLI BL21(DE3)',469008,2.72,54.76,6.0,291,100,2007-03-03,,1.700,50.000,21.000,1.700,40.660,0.167,0.188,0.166,THROUGHOUT,MAD,1.200,0.800,1.700,40.660,2114,31,282
4g22,2012-07-11,'COFFEA CANEPHORA',49390,'ESCHERICHIA COLI',469008,2.26,45.46,9.0,293,100,2009-04-08,0.984,1.7,50.0,,1.70,42.94,0.16784,0.20271,0.16751,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.70,42.94,6423,20,625
3q60,2010-12-30,'TOXOPLASMA GONDII',5811,'ESCHERICHIA COLI',562,2.25,45.34,5.5,291,100,2010-07-20,1.00,1.720,50.000,13.900,1.7200,30.2190,0.1804,0.2100,0.1788,,'MOLECULAR REPLACEMENT',1.0000,0.8900,1.7200,30.2190,2733,40,276
4yah,2015-02-17,'ESCHERICHIA COLI (STRAIN K12)',83333,'ESCHERICHIA COLI',469008,2.41,48.94,5.6,293,100,2014-01-23,1.000,1.600,24.490,4.100,1.6000,24.4900,0.1557,0.1829,0.1542,THROUGHOUT,'MOLECULAR REPLACEMENT',1.1100,0.9000,1.6000,24.4900,1895,17,359
4ytk,2015-03-17,'SACCHAROMYCES CEREVISIAE (STRAIN ATCC 204508 / S288C)',559292,'ESCHERICHIA COLI',469008,2.5,50,8.0,293,100,2013-05-16,,1.09,36.5,6.0,1.0904,36.490,0.1831,0.1994,0.1822,'FREE R-VALUE',SAD,0.80,0.47,1.0904,36.490,943,0,161
5io9,2016-03-08,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.09,41.10,,293,100,2009-12-14,1.00,1.30,26,2.2,1.30,26.00,0.1876,0.2099,0.1864,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.30,26.00,1600,0,263
5xi8,2017-04-26,'ESCHERICHIA COLI (STRAIN K12)',83333,'ESCHERICHIA COLI KRX',1452720,2.18,43.51,5.9,298,100,2015-12-15,,1.700,50.000,38.100,1.7000,37.1210,0.1663,0.1940,0.1632,'FREE R-VALUE',MAD,1.1100,0.9000,1.7000,37.1210,1362,0,177
2ghs,2006-03-27,'AGROBACTERIUM TUMEFACIENS STR. C58',176299,'ESCHERICHIA COLI',562,1.92,35.40,,277,100,2004-05-16,,1.55,29.3,3.400,1.550,29.300,0.13911,0.176,0.137,THROUGHOUT,MAD,1.200,0.800,1.550,29.300,2229,6,378
2hw2,2006-07-31,'MYCOBACTERIUM SMEGMATIS',1772,'ESCHERICHIA COLI BL21(DE3)',469008,2.42,49.07,8.2,298.0,100,2006-06-11,1.1,1.45,30.18,4.5,1.45,30.18,0.13698,0.18546,0.13421,THROUGHOUT,SAD,1.40,0.80,1.45,30.18,1080,68,254
5u6a,2016-12-07,,,,,2.65,53.55,,293,100,2014-12-12,1.5418,1.736,31.526,2.5,1.736,31.526,0.1609,0.1875,0.1594,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.736,31.526,4354,8,857
1zn7,2005-05-11,'HOMO SAPIENS',9606,'ESCHERICHIA COLI BL21(DE3)',469008,2.11,41.23,8.50,291,,,1.5418,1.830,39.75,,1.83,39.75,0.148,0.19,0.146,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.83,39.75,2715,104,367
4wct,2014-09-05,'NEOSARTORYA FUMIGATA',746128,'ESCHERICHIA COLI BL21(DE3)',469008,2.52,51.16,,298,100,2014-07-21,1,1.67,48.07,5.6,1.67,48.07,0.14083,0.16866,0.13936,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.67,48.07,6902,106,1172
4pj2,2014-05-10,'AEROMONAS HYDROPHILA SUBSP. HYDROPHILA',380703,'ESCHERICHIA COLI',469008,2.41,49.02,.,293,100,2012-12-07,0.9791,1.24,47.8,4.3,1.24,47.80,0.1485,0.1678,0.1483,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.24,47.80,3692,14,605
5cea,2015-07-06,'BDELLOVIBRIO BACTERIOVORUS (STRAIN ATCC 15356 / DSM 50701 / NCIB 9529 / HD100)',264462,'ESCHERICHIA COLI BL21',511693,2.01,38.73,,298,100,2011-12-21,0.9795,1.85,100,3.8,1.8500,86.8500,0.1782,0.2104,0.1765,THROUGHOUT,MIR,1.0000,0.7000,1.8500,86.8500,7175,0,611
1o9g,2002-12-13,'STREPTOMYCES VIRIDOCHROMOGENES',1938,'ESCHERICHIA COLI',562,2.00,39,6.90,,100.0,2002-09-08,0.9774,1.500,37.800,4.300,1.50,37.8,0.170,0.202,0.169,THROUGHOUT,MAD,,,1.50,37.8,1867,0,334
4pdn,2014-04-19,'ESCHERICHIA COLI KTE5',1169326,'ESCHERICHIA COLI',562,1.91,35.59,,293,100,2012-10-19,1.0,1.448,50,5.8,1.448,36.917,0.1491,0.1745,0.1478,'FREE R-VALUE',,1.11,0.90,1.448,36.917,1118,1,77
6fdg,2017-12-22,'STAPHYLOCOCCUS AUREUS',1280,'ESCHERICHIA COLI BL21(DE3)',469008,2.37,48,7.0,293,100,2017-10-02,0.9763,1.3,75.33,6.9,1.30,75.33,0.17917,0.19767,0.17818,THROUGHOUT,SAD,1.20,0.80,1.30,75.33,5040,0,314
4ine,2013-01-04,'CAENORHABDITIS ELEGANS',6239,'ESCHERICHIA COLI',469008,2.50,50.80,7.5,282,100,2012-06-03,0.97857,1.450,30.000,4.300,1.45,29.63,0.172,0.194,0.170,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.45,29.63,6914,76,1086
2q5w,2007-06-03,,,,,2.56,51.99,5.3,295.0,100,2004-03-26,1.1,2.000,50.000,3.300,2.00,30.00,0.15087,0.19321,0.14866,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,2.00,30.00,1761,6,151
1qcx,1999-05-13,,,,,2.07,41.0,5.0,,295.0,,1.5418,1.7,100.0,4.1,1.7,7.0,0.162,0.198,0.162,R-FREE,'MOLECULAR REPLACEMENT AND HEAVY ATOMS',,,1.7,7.0,2662,0,339
4pjr,2014-05-12,,,,,2.68,54.07,6.3,291.15,100,2013-12-08,1.0000,2,50,3.4,2.000,19.784,0.1885,0.2218,0.1849,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,,,,,
4onw,2014-01-29,,,,,2.89,57.37,4.5,289,100,2011-04-14,0.9794,1.65,37.60,6.8,1.65,37.60,0.13807,0.17137,0.13622,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.65,37.60,3956,68,541
2r2d,2007-08-24,'AGROBACTERIUM TUMEFACIENS',176299,'ESCHERICHIA COLI',469008,2.65,53.64,3.5,298,200,,0.97946,1.75,79.06,2.9,1.75,18.1,0.16169,0.21267,0.15898,THROUGHOUT,SAD,1.40,0.80,1.75,18.1,12924,117,1521
6c9x,2018-01-29,'BLAUTIA OBEUM ATCC 29174',411459,'ESCHERICHIA COLI',469008,2.15,42.75,5.5,277,100,2013-04-07,0.9791,1.457,30.0,4.2,1.457,29.886,0.1428,0.1623,0.1418,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.457,29.886,10820,60,1493
5szd,2016-08-13,'AQUIFEX AEOLICUS (STRAIN VF5)',224324,'ESCHERICHIA COLI',562,2.05,40.12,,295,100,2013-12-04,0.97920,1.49,57.27,2.2,1.494,46.351,0.1351,0.1696,0.1323,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.494,46.351,7006,267,413
3kff,2009-10-27,'MUS MUSCULUS',10090,'ESCHERICHIA COLI',562,2.08,40.85,6,298,100,2003-06-04,0.90,0.960,25.000,4.800,0.96,17.70,0.136,0.164,,THROUGHOUT,'MOLECULAR REPLACEMENT',,,0.96,17.70,1247,19,314
4uho,2015-03-25,'PSEUDOMONAS SP.',306,'ESCHERICHIA COLI',511693,2.73,54.9,7,,100,2013-02-13,0.91840,1.24,44.90,7.2,1.24,89.77,0.10631,0.12314,0.10543,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.24,89.77,3299,83,620
1h97,2001-03-02,'PARAMPHISTOMUM EPICLITUM',54403,'ESCHERICHIA COLI',469008,2.36,48,4.50,,100.0,1999-07-15,,1.170,20.000,4.000,1.17,20.0,0.121,0.173,,THROUGHOUT,MAD,,,1.17,20.0,2330,106,361
4gjz,2012-08-10,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',469008,2.24,45.14,6.2,293,100,2010-12-08,0.9786,1.048,100.000,12.600,1.0481,25.4060,0.1475,0.1628,0.1472,,'MOLECULAR REPLACEMENT',0.8000,0.4700,1.0481,25.4060,1846,15,486
3wqc,2014-01-25,DELFTIA,518882,'RHODOCOCCUS ERYTHROPOLIS',1833,2.97,58.58,8.5,293,100,2012-03-08,0.98000,1.50,50,14.7,1.50,45.63,0.1227,0.1518,0.1211,THROUGHOUT,SAD,1.20,0.80,1.50,45.63,5731,55,650
3nua,2010-07-06,'CLOSTRIDIUM PERFRINGENS',195103,'ESCHERICHIA COLI',511693,2.50,50.76,5.6,298,100,2010-03-28,0.97929,1.35,50,8.7,1.40,38.21,0.144,0.161,0.143,,'MOLECULAR REPLACEMENT',1.11,0.90,1.40,38.21,3810,136,711
5cr9,2015-07-22,,471857,'ESCHERICHIA COLI',562,2.25,45.25,8.0,273,100,2012-12-21,0.9794,1.70,37.57,7.0,1.70,37.569,0.1471,0.1722,0.1458,'FREE R-VALUE',MAD,1.11,0.90,1.70,37.569,2182,23,278
3kzx,2009-12-08,'EHRLICHIA CHAFFEENSIS',205920,'ESCHERICHIA COLI',562,2.49,50.65,6.50,290,100.0,2009-12-02,0.9774,1.900,50,3.9,1.90,33.95,0.174,0.213,0.172,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.90,33.95,1594,5,191
4hcs,2012-10-01,'DANIO RERIO',7955,PICHIA,4919,2.20,43.96,7.0,298,,,0.97924,1.28,23,,1.28,22.908,0.1843,0.2061,0.1832,,SAD,1.11,0.90,1.28,22.908,534,0,113
3rp8,2011-04-26,'KLEBSIELLA PNEUMONIAE',272620,'ESCHERICHIA COLI',562,2.10,41.38,6.5,291,100,2010-06-26,0.97918,1.968,50.000,4.400,1.9680,48.0010,0.1923,0.2289,0.1903,,'FOURIER SYNTHESIS',1.2000,0.9500,1.9680,48.0010,2902,54,112
5akr,2015-03-05,,,,,1.86,34.7,4.75,,100,2008-07-19,0.92,0.87,23.00,7.2,0.87,17.41,0.10984,0.12714,0.10892,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,0.87,17.41,2598,36,609
5m17,2016-10-07,'BACTEROIDES XYLANISOLVENS XB1A',657309,'ESCHERICHIA COLI BL21(DE3)',469008,2.27,45.87,7.2,292,100,2015-05-23,0.979,1.03,76.77,6.0,1.03,76.77,0.11731,0.12997,0.11664,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.03,76.77,2810,33,412
3s3z,2011-05-18,,,,,,,7.3,298,200,2008-05-15,0.99984,1.750,41.560,5.300,1.7500,36.8100,0.1895,0.2118,0.1884,THROUGHOUT,'MOLECULAR REPLACEMENT',1.2000,0.8000,1.7500,36.8100,786,2,87
2xeu,2010-05-18,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,1.91,35.17,,,100,,1.28,1.50,18.00,9,1.50,18.15,0.16972,0.19727,0.16836,THROUGHOUT,SAD,1.40,0.80,1.50,18.15,498,35,54
3ho6,2009-06-01,'CLOSTRIDIUM DIFFICILE',1496,'ESCHERICHIA COLI',562,2.22,44.56,,294,100,2008-11-01,0.9784,1.6,50,4.8,1.6,31.502,0.1668,0.1982,0.1651,,SAD,1.11,0.90,1.6,31.502,7975,84,648
4ae7,2012-01-09,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',511693,2.5,51,,,100,,1.00,1.45,30.00,2.1,1.450,27.519,0.1418,0.1706,0.1403,,'MOLECULAR REPLACEMENT',1.10,0.83,1.450,27.519,1478,0,175
2qsb,2007-07-30,'THERMOPLASMA ACIDOPHILUM DSM 1728',273075,'ESCHERICHIA COLI BL21(DE3)',469008,2.15,42.90,7.0,291,100,2006-12-03,,1.250,50.000,11.100,1.300,24.550,0.149,0.178,0.147,THROUGHOUT,MAD,1.200,0.800,1.300,24.550,875,5,128
3w0s,2012-11-02,'ESCHERICHIA COLI',562,'ESCHERICHIA COLI',562,2.25,45.22,5.2,293,95.0,2007-12-04,1.0000,1.77,60.63,,1.77,30.50,0.16764,0.19807,0.16607,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.77,30.50,2343,69,286
2wb0,2009-02-19,'HUMAN ADENOVIRUS 5',28285,'ESCHERICHIA COLI',511693,2.42,48.83,5.8,,100,,0.928,1.95,15.00,3.6,1.95,14.95,0.187,0.245,0.184,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.95,14.95,2471,2,383
2z2o,2007-05-25,'STAPHYLOCOCCUS AUREUS',1280,'ESCHERICHIA COLI BL21(DE3)',469008,2.07,40.59,7.5,295,95,2005-02-01,1.0999,1.9,50,4.5,1.90,19.89,0.14603,0.19902,0.14029,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.90,19.89,9210,5,1083
4qpw,2014-06-25,'BACTEROIDES INTESTINALIS DSM 17393',471870,'ESCHERICHIA COLI',562,2.82,56.37,6.5,296,100,2013-10-05,0.97857,1.144,57.069,7.8,1.14,47.44,0.16116,0.17827,0.16027,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.14,47.44,1122,28,311
3wd0,2013-06-06,'SERRATIA MARCESCENS',615,'ESCHERICHIA COLI',562,4.25,71.06,7.0,298,100,2009-10-11,1.0000,1.70,30,18.3,1.70,29.31,0.17010,0.18214,0.16945,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.70,29.31,3914,61,524
2azw,2005-09-12,'ENTEROCOCCUS FAECALIS',226185,'ESCHERICHIA COLI BL21(DE3)',469008,3.19,61,7.5,298,100,2005-02-06,0.9798,1.9,64.28,9.2,1.9,64.28,0.19479,0.22969,0.19303,THROUGHOUT,SAD,1.20,0.80,1.9,64.28,1188,16,160
3fed,2008-11-28,'HOMO SAPIENS',9606,'DROSOPHILA MELANOGASTER',7227,2.95,58.26,7.5,293,100,2006-11-01,1.000,1.29,30,6.6,1.29,25.00,0.13104,0.14727,0.13087,THROUGHOUT,'FOURIER SYNTHESIS',1.20,0.80,1.29,25.00,5504,94,861
3bio,2007-11-30,'PORPHYROMONAS GINGIVALIS',242619,'ESCHERICHIA COLI BL21(DE3)',469008,2.53,51.43,7.5,294,100,2007-11-19,0.97940,1.75,30,6.0,1.800,30.000,0.158,0.187,0.156,THROUGHOUT,SAD,1.200,0.800,1.800,30.000,4387,40,433
5uz8,2017-02-25,'MUS MUSCULUS',10090,'ESCHERICHIA COLI',511693,3.71,66.89,7.5,277,100,2016-07-30,0.9792,1.85,50,3.3,1.85,50,0.17136,0.18788,0.17051,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.85,50,2431,30,541
4hhj,2012-10-10,'DENGUE VIRUS 3',11069,'ESCHERICHIA COLI',562,2.81,56.27,8.0,291,100,2010-08-16,1,1.79,59.71,5.6,1.79,29.85,0.1783,0.2092,0.1767,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.79,29.85,4781,42,661
2xdg,2010-04-30,'HOMO SAPIENS',9606,'SPODOPTERA FRUGIPERDA',7108,2.09,41,7,,100,2010-04-15,0.9779,1.95,28.71,6.8,1.95,27.41,0.16742,0.22288,0.16451,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.95,27.41,1316,11,83
4v3i,2014-10-19,,,,,2.58,52.3,6.4,,295,2013-06-04,0.9795,1.50,50.00,11.0,1.499,27.979,0.1804,0.1939,0.1793,,'MOLECULAR REPLACEMENT',1.11,0.90,1.499,27.979,1281,6,67
5wgi,2017-07-14,'DANIO RERIO',7955,'ESCHERICHIA COLI',562,1.97,37.54,,277,100,2016-07-07,0.97920,1.05,47.04,3.3,1.050,47.038,0.1072,0.1255,0.1063,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.11,0.90,1.050,47.038,2787,97,424
1gxu,2002-04-11,,,,,2.51,50.9,8.50,,100.0,,1.000,1.270,30.000,10.800,1.27,10,0.133,0.161,0.131,,OTHER,,,1.27,10,710,5,109
5mul,2017-01-13,,226186,'ESCHERICHIA COLI',562,2.22,44.50,,293,100,2015-02-05,1.01,1.39,21.75,5.0,1.39,21.75,0.17397,0.19423,0.17293,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.39,21.75,3012,13,278
2fg1,2005-12-20,'BACTEROIDES THETAIOTAOMICRON',226186,'ESCHERICHIA COLI BL21(DE3)',469008,1.97,37.51,6.5,289,100,2005-12-05,,1.25,50,,1.25,50.00,0.16871,0.18127,0.16804,THROUGHOUT,MAD,1.20,0.80,1.25,50.00,1235,0,272
1eaz,2001-07-17,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',511693,2.48,48,5.60,,100.0,2001-02-25,0.9999,1.400,27.524,4.000,1.4,30,0.171,0.228,,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.4,30,840,13,135
3blz,2007-12-11,'SHEWANELLA BALTICA',325240,'ESCHERICHIA COLI',562,2.35,47.69,5.6,293,100,2007-09-15,,1.75,29.348,1.900,1.750,29.348,0.154,0.194,0.152,THROUGHOUT,MAD,1.400,0.800,1.750,29.348,11418,126,1158
3goc,2009-03-18,'STREPTOMYCES AVERMITILIS',227882,'ESCHERICHIA COLI',562,2.28,46.14,7.2,291,100,2007-08-15,0.97853,1.60,50.0,2.8,1.60,19.83,0.178,0.194,0.177,THROUGHOUT,'MOLECULAR REPLACEMENT',,,1.60,19.83,3362,19,743
2vif,2007-11-30,,,,,2.04,39.84,6.5,,100,2007-10-26,0.98248,1.45,46.03,4.5,1.45,35.69,0.142,0.198,0.139,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.45,35.69,1118,4,125
2c71,2005-11-17,'CLOSTRIDIUM THERMOCELLUM',1515,'ESCHERICHIA COLI',511693,1.52,18.91,,,100.0,2004-10-30,0.97560,1.050,30.000,3.800,1.05,28.41,0.125,0.142,0.124,THROUGHOUT,SAD,1.40,0.80,1.05,28.41,1587,1,376
4rgd,2014-09-29,'ENTEROCOCCUS FAECALIS',1351,'ENTEROCOCCUS FAECALIS',1351,2.33,47.16,5.6,295,100,,.,1.20,24.9,,1.20,24.10,0.11969,0.14704,0.11819,THROUGHOUT,'MOLECULAR REPLACEMENT',1.20,0.80,1.20,24.10,1020,13,305
3d06,2008-05-01,'HOMO SAPIENS',9606,'ESCHERICHIA COLI',562,2.07,40.46,6.1,293,100,2005-02-26,0.93930,1.20,17.34,4.6,1.20,17.34,0.1772,0.2015,0.1759,THROUGHOUT,'MOLECULAR REPLACEMENT',1.40,0.80,1.20,17.34,1498,1,188
2rh3,2007-10-05,'AGROBACTERIUM TUMEFACIENS',358,'ESCHERICHIA COLI',562,2.40,48.84,6.5,298.0,,,,1.70,30.00,3.3,1.700,30.00,0.184,0.209,0.183,THROUGHOUT,SAD,1.200,0.800,1.700,30.00,945,0,100
3oou,2010-08-31,'LISTERIA INNOCUA',1642,'ESCHERICHIA COLI',562,2.27,45.75,5.5,277,100,2010-07-28,0.9792,1.57,50,5.9,1.57,44.94,0.19297,0.21702,0.19174,THROUGHOUT,SAD,1.40,0.80,1.57,44.94,878,18,126
6etl,2017-10-27,,,,,2.04,39.68,5.3,293,100,2011-09-26,0.7749,0.850,50.000,3.300,0.85,50.00,0.1028,0.1222,0.0977,'FREE R-VALUE',,,,0.85,50.00,951,12,233
5dx6,2015-09-23,'KLEBSIELLA PNEUMONIAE',573,'ESCHERICHIA COLI BL21(DE3)',469008,2.50,50.88,7.5,277,100,2014-04-18,1.0332,1.750,42.570,3.500,1.750,42.5730,0.1519,0.1899,0.1513,'FREE R-VALUE','MOLECULAR REPLACEMENT',1.1100,0.9000,1.750,42.5730,8217,72,780
4gh9,2012-08-07,'MARBURG VIRUS',33727,'ESCHERICHIA COLI',562,1.95,37.03,4.6,298,77,2010-08-22,1.000,1.65,45.44,5.5,1.650,26.682,0.1635,0.2167,0.1608,THROUGHOUT,'MOLECULAR REPLACEMENT',1.11,0.90,1.650,26.682,943,24,117
